,name,amount_of_fan
0,00 Schneider - Jagd auf Nihil Baxter,1
1,1 Per Cent | Outlaws,2
2,10 Cloverfield Lane,13
3,10 Things I Hate About You,134
4,The 10 Year Plan,5
5,10 Years,6
6,100 Bloody Acres,4
7,내 사랑 싸가지 | 100 Days with Mr. Arrogant,1
8,100回泣くこと | 100 Kai Naku Koto | Crying 100 Times: Every Raindrop Falls,1
9,100 Percent Wolf,6
10,100 Tears,1
11,100％ లవ్ | 100％ Love,1
12,10000 BC,7
13,101 Dalmatians,52
14,101 Dalmatians,172
15,111 Gramercy Park,1
16,12 Angry Men,8
17,12金鴨 | 12 Golden Ducks,3
18,12 Monkeys,6
19,12 Rounds,5
20,12 Years a Slave,7
21,120 battements par minute | BPM: Beats per Minute,2
22,13,2
23,十三人の刺客 | 13 Assassins,1
24,13 Cameras,1
25,13 Going On 30,16
26,13 Graves,2
27,13 Hours: The Secret Soldiers of Benghazi,3
28,13 Sins,1
29,The 13th Warrior,31
30,十四女英豪 | The 14 Amazons,1
31,錦衣衛 | 14 Blades,5
32,1408,8
33,1492: Conquest of Paradise,3
34,15,1
35,16 Wishes,2
36,17 Again,9
37,1776,147
38,나의 19세 | 19-Nineteen,1
39,1917,926
40,1922,2
41,1984,2
42,2          ↑2 Cool 2 be 4gotten                             2 Guns                             20 декабря | 20 December                             20 Million Miles to Earth                             20 Years After                             200 Cigarettes                             미녀는 괴로워 | 200 Pounds Beauty                             2001 Maniacs                             2001 Maniacs: Field of Screams                             2001: A Space Odyssey                             2002 | Special Unit 2002                             2010: The Year We Make Contact                             2012                             2036 Origin Unknown                             2046                             20세기 소녀 | 20th Century Girl                             21                             21 & Over                             21 Bridges                             21 Grams                             21 Jump Street - All Media Types                            21 Jump Street                             24 Hour Party People                             24 Hours To Live                             25th Hour                             26년 | 26 Years                             27 Dresses                             28 Days                             28 Days Later                             28 Weeks Later,80
43,2 Cool 2 be 4gotten,1
44,2 Guns,6
45,20 декабря | 20 December,1
46,20 Million Miles to Earth,1
47,20 Years After,1
48,200 Cigarettes,1
49,미녀는 괴로워 | 200 Pounds Beauty,3
50,2001 Maniacs,2
51,2001 Maniacs: Field of Screams,5
52,2001: A Space Odyssey,166
53,2002 | Special Unit 2002,20
54,2010: The Year We Make Contact,22
55,2012,12
56,2036 Origin Unknown,3
57,2046,2
58,20세기 소녀 | 20th Century Girl,2
59,21,6
60,21 & Over,6
61,21 Bridges,2
62,21 Grams,1
63,21 Jump Street - All Media Types,250
64,21 Jump Street,63
65,24 Hour Party People,1
66,24 Hours To Live,1
67,25th Hour,3
68,26년 | 26 Years,1
69,27 Dresses,14
70,28 Days,3
71,28 Days Later,54
72,28 Weeks Later,80
73,3          ↑3 Blind Saints                             盲女72小時 | 3 Days of a Blind Girl                             3 Hari Untuk Selamanya | Three Days to Forever                             3 Idiots                             3 Musketeers                             3 Ninjas                             他她他 | 3 Peas in a Pod                             3 Ring Circus                             3:10 to Yuma                             3:10 to Yuma                             30 Days of Night                             30 Minutes or Less                             300                             31                             365 Dni | 365 Days                             The 39 Steps                             3faltig                             3rd Ave. El,1
74,3 Blind Saints,11
75,盲女72小時 | 3 Days of a Blind Girl,1
76,3 Hari Untuk Selamanya | Three Days to Forever,1
77,3 Idiots,12
78,3 Musketeers,2
79,3 Ninjas,5
80,他她他 | 3 Peas in a Pod,1
81,3 Ring Circus,1
