,movie_tag,amount_of_fan
0,00 Schneider - Jagd auf Nihil Baxter (1994)                            ,1
1,1 Per Cent | Outlaws (Australia Movie 2017)                            ,2
2,10 Cloverfield Lane (2016)                            ,13
3,10 Things I Hate About You (1999)                            ,134
4,The 10 Year Plan (2014)                            ,5
5,10 Years (2011)                            ,6
6,100 Bloody Acres (2012)                            ,4
7,내 사랑 싸가지 | 100 Days with Mr. Arrogant (2004)                            ,1
8,100回泣くこと | 100 Kai Naku Koto | Crying 100 Times: Every Raindrop Falls (2013)                            ,1
9,100 Percent Wolf (2020)                            ,6
10,100 Tears (2007)                            ,1
11,100％ లవ్ | 100％ Love (Movie 2011)                            ,1
12,10000 BC (2008)                            ,7
13,101 Dalmatians (1996)                            ,52
14,101 Dalmatians (Disney Animated Movies)                            ,172
15,111 Gramercy Park (2003)                            ,1
16,12 Angry Men (1957)                            ,8
17,12金鴨 | 12 Golden Ducks (2015)                            ,3
18,12 Monkeys (1995)                            ,6
19,12 Rounds (Movies)                            ,5
20,12 Years a Slave (2013)                            ,7
21,120 battements par minute | BPM: Beats per Minute (2017)                            ,2
22,13 (2010)                            ,2
23,十三人の刺客 | 13 Assassins (2010)                            ,1
24,13 Cameras (2015)                            ,1
25,13 Going On 30 (2004)                            ,16
26,13 Graves (2006)                            ,2
27,13 Hours: The Secret Soldiers of Benghazi (2016)                            ,3
28,13 Sins (2014)                            ,1
29,The 13th Warrior (1999)                            ,31
30,十四女英豪 | The 14 Amazons (1972)                            ,1
31,錦衣衛 | 14 Blades (2010)                            ,5
32,1408 (2007)                            ,8
33,1492: Conquest of Paradise (1992)                            ,3
34,15 (2003)                            ,1
35,16 Wishes (2010)                            ,2
36,17 Again (2009)                            ,9
37,1776 (1972)                            ,147
38,나의 19세 | 19-Nineteen (2009)                            ,1
39,1917 (Movie 2019)                            ,926
40,1922 (Movie 2017)                            ,2
41,1984 (1984)                            ,2
